id_offre,EducationLevel,Sectors,Title,skills,class
47,"Bac+5 et plus;",Banque;assurance;finances;,"Chargé(e) D’affaires Factoring Banque","factoring,financement,orientation client,finance,gestion,comptabilité,banque,vente,communication,marketing,gestion de portefeuille,négociation,relation clients","De 2 à 5 ans"
48,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Responsable Marketing et Communication H/F - Casablanca","marketing,communication,plan marketing,publicité,actions marketing,stratégie de communication,newsletters,stratégie marketing,communication marketing","De 5 à 10 ans"
49,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Chargé de Recouvrement Terrain","finance,gestion,comptabilité,législation,recouvrement,marchés publics","De 2 à 5 ans"
50,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Commerciaux Back-office","vente,actions commerciales","De 5 à 10 ans"
51,Bac+4;,Informatique;SSII;Internet;,"Technical Leader Senior","OSS,REACT,AGILE,JIRA,BACK END,CONFLUENCE,DOCKER,HADOOP,BIG DATA,SPRING,FRONT END,SPARK,POSTGRESQL","De 5 à 10 ans"
52,Bac+2;,"Activités associatives;Éducation;formation;Sport;action culturelle et sociale;","Adjointe Administrative - Québec;Canada","finance,assistanat,secrétariat,comptabilité,gestion","3 ans"
53,Bac+3;,"Informatique;SSII;Internet;Ingénierie;études développement;","Programmeur Analyste Java - Québec;Canada","JAVA,SPRING,MAVEN,REACT,JPA,JUNIT,HIBERNATE","De 2 à 5 ans"
54,"Bac+5 et plus;",Informatique;SSII;Internet;,"Chef de Projets MOA - Finances de Marchés","PROXY,MEGA,MERISE,SCRUM,AGILE","De 5 à 10 ans"
55,Bac+3;,Informatique;SSII;Internet;,"Spécialiste en Informatique",SALESFORCE,"3 ans"
56,Bac+2;,"Automobile;matériels de transport;réparation;","Conseiller SAV Automobile H/F","relation clients,gestion administrative,gestion de réclamations,analyse mécanique,pneumatique,EXCEL,assurance,mécanique,vente,communication,gestion des réclamations,marketing,formation,qualité,DU,gestion commerciale,production,SAV,électronique,maintenance","De 2 à 5 ans"
57,Bac+3;,"Informatique;SSII;Internet;Ingénierie;études développement;","Programmeur - Analyste Net - Québec;Canada","DOTNET,NET,ASP,REACT,C#,MVC,DOCKER,JAVASCRIPT","De 2 à 5 ans"
58,Bac+3;,Industrie;production;fabrication;autres;,"Comptable Trésorerie","comptabilité,finance,gestion,flux financiers,trésorerie","De 2 à 5 ans"
59,Bac+3;,"Informatique;SSII;Internet;Ingénierie;études développement;","Lead Développeur Java - Québec;Canada","JAVA,HIBERNATE,JUNIT,REACT,MAVEN,SPRING,JPA,DOCKER","De 2 à 5 ans"
60,Bac+2;,"Automobile;matériels de transport;réparation;Industrie;production;fabrication;autres;","Opérateur Programmeur Machiniste CNC - Québec;Canada","machine CNC,DU,maintenance,métallurgie,contrôle de qualité,production,MASTERCAM,machines,processus,fabrication,usinage,qualité","De 2 à 5 ans"
61,Bac+2;,Industrie;production;fabrication;autres;,"Technicien(ne) de Qualité (Génie Industriel ou Chimique)","génie chimique,DU,maintenance,génie industriel,fabrication,appareillage,processus,équipement,qualité du produit,qualité","De 2 à 5 ans"
62,"Bac+5 et plus;",Industrie;production;fabrication;autres;,"Responsable Crédit Client","facturation,finance,comptabilité générale,comptabilité,recouvrement,gestion,gestion financière","De 5 à 10 ans"
63,Bac;,Industrie;production;fabrication;autres;,"Opérateur de Production","DU,processus,fabrication,production,maintenance,qualité,graissage","De 2 à 5 ans"
64,Bac+2;,"Aéronautique;navale;Automobile;matériels de transport;réparation;Industrie;production;fabrication;autres;Métallurgie;sidérurgie;","Machiniste Conventionnel - Québec;Canada","DU,maintenance,génie mécanique,usinage,machines-outils,qualité","De 2 à 5 ans"
65,Bac+2;,"Services autres;","Aide Comptable","comptabilité,facturation,logiciel informatique,EXCEL,gestion de la trésorerie,trésorerie,finance,gestion,comptabilité fournisseurs,rapprochement bancaire,bilan comptable,assistanat,secrétariat,formation","De 2 à 5 ans"
67,"Bac+5 et plus;","Services autres;","Responsable Conseil PME H/F – Dakhla","conseil,assistance","De 5 à 10 ans"
68,"Bac+5 et plus;",Informatique;SSII;Internet;,"Chef de Projet Infrastructure",ITIL,"10 ans;"
69,"Bac+5 et plus;",Informatique;SSII;Internet;,"Administrateur Supervision","INFORMIX,SHELL,SQL,ORACLE,UNIX","De 5 à 10 ans"
70,"Bac+5 et plus;","Services autres;","Responsable Communication H/F - Dakhla","communication externe,médias,marketing,relations publiques,communication,plan de communication","De 5 à 10 ans"
71,Bac;,Industrie;production;fabrication;autres;,"Peintre et Finisseur de Pièces en Métal Sur Chaîne de Production","DU,aéronautique,maintenance,production,qualité,procédés","3 ans"
72,Bac+3;,"Automobile;matériels de transport;réparation;","Commercial(e) Grands Comptes","prospection,prise de RDV,suivi commercial,proposition commerciale,business communication,EXCEL,communication,marketing,vente,CRM","De 2 à 5 ans"
73,"Bac+5 et plus;",Informatique;SSII;Internet;,"Consultant en Management Cloud","API,ITSM,ITIL","De 5 à 10 ans"
75,"Bac+5 et plus;",Industrie;production;fabrication;autres;,"Customer Service & General Purchasing - CDI - Mohammedia","transport,achats,sourcing,purchasing,livraison","De 2 à 5 ans"
76,"Qualification avant bac;","Distribution;vente;commerce de gros;","Hôte / Hôtesse",vente,"De 2 à 5 ans"
77,"Bac+5 et plus;",BTP;construction;,"Technicien de Contrôle et Suivi des Travaux","DU,qualité,production,maintenance","De 5 à 10 ans"
78,Bac+2;,"Automobile;matériels de transport;réparation;Distribution;vente;commerce de gros;","Commercial Terrain Avec Expérience dans le Secteur Automobile","négociation,développement commercial","3 ans"
79,Bac+2;,"Automobile;matériels de transport;réparation;","Technico-commercial(e) Casablanca",vente,"3 ans"
80,Bac+2;,Marketing;communication;médias;,"Responsable Google Ads/Facebook Ads","GTM,rédaction,copywriting,publicité,Facebook Ads,marketing","De 2 à 5 ans"
81,Bac+2;,"Distribution;vente;commerce de gros;","Commercial(e) Terrain","négociation,développement commercial","3 ans"
82,Bac+2;,"Distribution;vente;commerce de gros;","Commercial(e) Sédentaire","techniques de vente,vente,télévente,négociation","3 ans"
83,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Responsable Administration des Ventes (ADV)","commercialisation,gestion d'équipe,négociation commerciale,communication,facturation,négociation,gestion,management,vente","De 2 à 5 ans"
84,Bac+2;,Tourisme;loisirs;,"Gouvernant d'Etage H/F - Rabat","restauration,accueil,hôtellerie","De 2 à 5 ans"
85,Bac+2;,Ameublement;décoration;,"Destinateur Cuisiniste - Rabat",design,"De 2 à 5 ans"
86,Bac+2;,"Services autres;","Électriciens Câbleurs Casablanca","qualité,production,maintenance,électricité industrielle","De 2 à 5 ans"
87,Bac+2;,Ameublement;décoration;,"Commercial Terrain Cuisiniste","prospection,développement commercial,vente","De 2 à 5 ans"
88,"Bac+5 et plus;",Industrie;production;fabrication;autres;,"Comptable Senior H/F","comptabilité,comptabilité générale,gestion de la trésorerie,finance,gestion,consolidation,trésorerie","De 5 à 10 ans"
89,Bac+2;,Industrie;production;fabrication;autres;,Standardiste,"assistanat,accueil physique,secrétariat","3 ans"
90,Bac+2;,Ameublement;décoration;,"Community Manager",vente,"De 2 à 5 ans"
91,"Bac+5 et plus;",Nettoyage;sécurité;surveillance;,"Contrôleur de Gestion H/F","comptabilité générale,gestion,finance,analyse financière,comptabilité","De 2 à 5 ans"
92,Bac;,Tourisme;loisirs;,"Valets et Femmes de Chambre","restauration,hôtellerie","3 ans"
93,Bac+2;,Hôtellerie;restauration;,"Serveurs / Serveuses","tourisme,hôtellerie","3 ans"
94,Bac+2;,Ameublement;décoration;,"Commercial Magasin Ameublement de Luxe",vente,"De 2 à 5 ans"
95,Bac+2;,Éducation;formation;,"Responsable des Achats F/H","gestion des stocks,achats","De 2 à 5 ans"
96,Bac+1;,Hôtellerie;restauration;,Barman,tourisme,"3 ans"
97,Bac+2;,BTP;construction;,Commerciale,"prospection commerciale,prospection,vente","De 5 à 10 ans"
98,Bac+3;,"Automobile;matériels de transport;réparation;","Commercial(e) Grands Comptes","prospection,prise de RDV,suivi commercial,proposition commerciale,business communication,EXCEL,communication,marketing,vente,CRM,delivery","De 2 à 5 ans"
99,"Bac+5 et plus;",Electricité;eau;gaz;nucléaire;énergie;,"EHS Engineer","manufacturing,safety management,production,qualité,maintenance","De 5 à 10 ans"
100,Bac+2;,"BTP;construction;Industrie;production;fabrication;autres;Ingénierie;études développement;Métallurgie;sidérurgie;","Technicien Bureau d´Etudes - Bouskoura - Transport Non Assuré","qualité,génie mécanique,SOLIDWORKS,chiffrage,AUTOCAD,maintenance","De 2 à 5 ans"
101,Bac+3;,Banque;assurance;finances;Immobilier;architecture;urbanisme;Informatique;SSII;Internet;,"Chargée de Recrutement","recrutement,formation,contrat de travail","De 2 à 5 ans"
102,"Bac+5 et plus;","Automobile;matériels de transport;réparation;","Ingénieur HSE","hygiène,production,maintenance,qualité","De 2 à 5 ans"
103,"Qualification avant bac;","Agroalimentaire;Industrie;production;fabrication;autres;Maintenance;entretien;service après vente;","Frigoriste en Intérim","installation frigorifique,qualité,maintenance","De 2 à 5 ans"
104,Bac+2;,"Agroalimentaire;Industrie;production;fabrication;autres;Maintenance;entretien;service après vente;","Électromécaniciens en Intérim","pièces mécaniques,électromécanique,maîtrise technique,qualité,machines,graissage,maintenance","De 2 à 5 ans"
106,Bac+3;,"Industrie;production;fabrication;autres;Maintenance;entretien;service après vente;","Relais Ressources Humaines (RH)","gestion,formation,finance,comptabilité,gestion administrative","De 2 à 5 ans"
107,"Bac+5 et plus;","Equipements mécaniques;machines;Services aéroportuaires et maritimes;Transports;logistique;services postaux;","Approvisionneur en Intérim","supply chain,stocks,achats,transport,transport ferroviaire,supply","De 2 à 5 ans"
108,Bac+3;,"Agroalimentaire;Hôtellerie;restauration;Industrie;production;fabrication;autres;Intérim;recrutement;Transports;logistique;services postaux;","Chargé de Facturation","comptabilité analytique,facturation,gestion,finance,comptabilité","De 2 à 5 ans"
109,Bac+2;,Ameublement;décoration;,"Assistante Administrative","assistanat,secrétariat,gestion administrative","De 2 à 5 ans"
110,Bac+2;,"Agroalimentaire;Import;export;Transports;logistique;services postaux;",Standardiste,"accompagnement,secrétariat,bureautique,documentation,assistanat","De 2 à 5 ans"
111,Bac+2;,Hôtellerie;restauration;,"Superviseur F&B","tourisme,management","De 2 à 5 ans"
112,"Bac+5 et plus;",Agroalimentaire;,"Chargé(e) de Paie et Administration du Personnel","finance,administration du personnel,dossiers administratifs,comptabilité,gestion,formation","De 2 à 5 ans"
113,Bac+2;,"Distribution;vente;commerce de gros;","Animatrice de Vente","vente,animation commerciale,merchandising,prospection","De 2 à 5 ans"
114,Bac+3;,Éducation;formation;,"Secrétaire Administrative Anglophone (intérim)","suivi des dossiers,assistanat,dossiers administratifs,dossiers,secrétariat,archivage,gestion administrative,gestion des fournitures","De 2 à 5 ans"
115,"Bac+5 et plus;","Automobile;matériels de transport;réparation;","Contrôleur de Gestion Junior","comptabilité,reporting,finance,reporting opérationnel,EXCEL,ACCESS,audit,management,comptabilité générale,fiscalité,planification,gestion,formation,audit management,conseil","3 ans"
116,Bac+2;,Hôtellerie;restauration;,"Aide Comptable (intérim)","gestion,finance,comptabilité","De 2 à 5 ans"
117,"Bac+5 et plus;",Industrie;production;fabrication;autres;,"Adjoint Administration des Ventes",vente,"De 2 à 5 ans"
118,"Bac+5 et plus;","Automobile;matériels de transport;réparation;Industrie;production;fabrication;autres;Transports;logistique;services postaux;","Dispatcheur Transport Ferroviaire","habilitation électrique,transport ferroviaire,électromécanique,transport,maintenance,qualité,exploitation","De 2 à 5 ans"
119,Bac+3;,Banque;assurance;finances;,"Gestionnaire de Réclamations Clients F/H","gestion de réclamations,service clients,comptabilité,gestion,banque,formation,vente","De 2 à 5 ans"
120,Bac+3;,Nettoyage;sécurité;surveillance;,"Assistant(e) Back-Office H/F","bureautique,fiches,informatique bureautique,assistanat,secrétariat,déplacement,suivi administratif","3 ans"
121,"Bac+5 et plus;",Nettoyage;sécurité;surveillance;,"Contrôleur de Gestion H/F","comptabilité générale,gestion,finance,analyse financière,comptabilité","De 2 à 5 ans"
122,"Bac+5 et plus;","BTP;construction;Distribution;vente;commerce de gros;","Assistant(e) Juridique en Intérim","bureautique,droit privé,droit,secrétariat,dossiers,assistanat","3 ans"
123,Bac+3;,BTP;construction;Industrie;production;fabrication;autres;,"Assistante Technique en Intérim","WORD,management,secrétariat,facturation,dossiers,assistanat","De 2 à 5 ans"
124,Bac+2;,"BTP;construction;Hôtellerie;restauration;Industrie;production;fabrication;autres;Intérim;recrutement;Transports;logistique;services postaux;","Technicien en Fabrication Mécanique","secteur BTP,BTP","De 2 à 5 ans"
125,Bac+3;,"Informatique;SSII;Internet;Services autres;","Visa Administration Officer","dossiers administratifs,classement des documents,accueil,finance,formation,gestion,marketing,comptabilité,communication,assistance,vente,gestion administrative","3 ans"
126,Bac+2;,Electricité;eau;gaz;nucléaire;énergie;,"Technicien Électromécanicien","réparation,électromécanique,maintenance,maintenance des machines,électronique,machines,gestion de la maintenance,hydraulique électronique,production,qualité,DU,hydraulique","ne diplômé;"
128,Bac+3;,BTP;construction;,"Estimateur(s) Électriques","processus,production,instrumentation,montage,amélioration continue,DU,maintenance,qualité","De 2 à 5 ans"
129,Bac+3;,BTP;construction;,"Mécanicien(ne) de Machineries Lourdes","réparation,sécurité,mécanique,entretien,installation","De 5 à 10 ans"
130,Bac+4;,"Services autres;","Ingénieur(e) en Géologie","livraison,assurance,support","De 5 à 10 ans"
132,Bac+3;,BTP;construction;,"Ingénieur en Électricité du Bâtiment",AUTOCAD,"De 5 à 10 ans"
133,Bac+4;,Informatique;SSII;Internet;,"Programmeur(se) Maximo","PL SQL,ORACLE,MAXIMO,JAVA,XML,SQL","De 2 à 5 ans"
134,Bac+3;,Informatique;SSII;Internet;,"Chef de Produit TI","JIRA,SCRUM,ZOHO,PLANISWARE","De 5 à 10 ans"
135,Bac+4;,Éducation;formation;,"Enseignant(e) au Secondaire en Histoire","pédagogie,enseignement,formation","De 5 à 10 ans"
136,Bac+4;,Éducation;formation;,"Enseignant(e) en Musique","formation,enseignement,pédagogie","De 5 à 10 ans"
137,Bac+2;,Hôtellerie;restauration;,"Bagagiste Expérimenté - Rabat","restauration,tourisme,hôtellerie","De 2 à 5 ans"
138,Bac+2;,Hôtellerie;restauration;Tourisme;loisirs;,"Filipino SPA Therapists","restauration,hôtellerie","De 2 à 5 ans"
139,Bac+2;,Hôtellerie;restauration;,"Commis de Rang - Hôtel 5*","restauration,tourisme,hôtellerie,service de restauration","3 ans"
141,"Bac+5 et plus;","Santé;pharmacie;hôpitaux;équipements médicaux;","Community Manager - Stagiaire - Casablanca","SEO,SMO,marketing digital,communication,communication marketing,marketing","ne diplômé;"
142,"Bac+5 et plus;",Intérim;recrutement;,"Chargé de Recrutement","recrutement,gestion des ressources humaines,formation,organisation RH","3 ans"
145,Bac+3;,Nettoyage;sécurité;surveillance;,"Assistante Back-Office","bureautique,fiches,informatique bureautique,assistanat,secrétariat,déplacement,suivi administratif","3 ans"
146,Bac+2;,"Services autres;","Chargé(e) D'assistance Sidi Maarouf - Subsahariens Acceptés","réception,assurance,assistance","De 2 à 5 ans"
147,Bac+3;,Marketing;communication;médias;,"Journaliste Francophone","journalisme,médias,rédaction","De 2 à 5 ans"
148,Bac+3;,Marketing;communication;médias;,Comptable,"écritures comptables,gestion,comptabilité,finance,système bancaire,fiscalité","De 2 à 5 ans"
149,Bac+2;,Industrie;production;fabrication;autres;,"Mécaniciens Véhicules Lourds","qualité,maintenance,réparation","De 2 à 5 ans"
150,Bac;,Hôtellerie;restauration;,"Plongeur en Restauration - Casablanca","restauration,tourisme,hôtellerie","De 2 à 5 ans"
151,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Commerciaux Terrain H/F (Délégués Pédagogiques)",commercialisation,"De 2 à 5 ans"
152,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Commercial Terrain H/F - Rabat",commercialisation,"De 2 à 5 ans"
153,Bac+3;,"Distribution;vente;commerce de gros;Édition;imprimerie;Éducation;formation;","Commercial Terrain H/F (Délégué Pédagogique) - Laâyoune",commercialisation,"De 5 à 10 ans"
154,Bac+2;,"Distribution;vente;commerce de gros;","Assistant(e) Administration des Ventes H/F - Ain Sebaa ADV","facturation,commercialisation,devis","De 2 à 5 ans"
155,"Bac+5 et plus;","Distribution;vente;commerce de gros;Éducation;formation;","Consultant Pédagogique",formation,"De 2 à 5 ans"
156,Bac+3;,Éducation;formation;,"Gestionnaire de Flotte",transport,"De 2 à 5 ans"
157,"Bac+5 et plus;",Agriculture;pêche;aquaculture;Agroalimentaire;Import;export;,"Chef de Station de Conditionnement","agriculture,agroalimentaire,exploitation,production,qualité,conditionnement industriel,industrie,DU,agronomie,ordonnancement,gestion de la qualité,amélioration continue,maintenance","De 5 à 10 ans"
158,"Bac+5 et plus;","Distribution;vente;commerce de gros;","Contrôleur de Gestion","comptabilité,fiscalité,comptabilité générale,audit,gestion,finance","De 2 à 5 ans"
159,"Bac+5 et plus;",BTP;construction;,"Responsable Ressources Humaines (RH)","formation,recrutement,gestion des ressources humaines,cotisations sociales","De 2 à 5 ans"
160,"Bac+5 et plus;",BTP;construction;,"Assistante Ressources Humaines","formation,cotisations sociales,gestion des ressources humaines,recrutement","3 ans"
161,"Bac+5 et plus;",BTP;construction;,"Assistant Administratif(ve)",formation,"De 2 à 5 ans"
162,"Bac+5 et plus;",Electricité;eau;gaz;nucléaire;énergie;,"Safety Engineer","production,maintenance,safety management,qualité","De 5 à 10 ans"
163,"Bac+5 et plus;",Electricité;eau;gaz;nucléaire;énergie;,"Quality Engineer","safety management,quality,production,maintenance,quality assurance,quality control,qualité","De 5 à 10 ans"
164,Bac+3;,Hôtellerie;restauration;,"Guest Relation Manager - Marrakech","hôtellerie,gestion hôtelière,accueil,tourisme","De 2 à 5 ans"
165,"Bac+5 et plus;","Industrie pharmaceutique;","Chargé Développement Ressources Humaines (RH)","formation,développement RH,gestion des compétences,gestion administrative,recrutement,gestion RH","De 2 à 5 ans"
166,Bac;,Banque;assurance;finances;,"Chauffeur PDG - Sidi Maarouf","entretien,transport","De 5 à 10 ans"
167,Bac+3;,"Services autres;","Juriste d'Affaires","droit,contentieux,jurisprudence","De 2 à 5 ans"
168,"Bac+5 et plus;",Agroalimentaire;,"Commercial des Produits Alimentaires Surgelés","développement commercial,négociation,vente","De 2 à 5 ans"
169,Bac+2;,"Agroalimentaire;Distribution;vente;commerce de gros;","Contrôleur Qualité en Agroalimentaire en Intérim","produit fini,qualité agroalimentaire,production,sécurité alimentaire,maintenance,agroalimentaire,hygiène,fabrication,assurance qualité,qualité","3 ans"
170,Bac+3;,"Agroalimentaire;Distribution;vente;commerce de gros;","Agent Administratif en Interim","finance,gestion,assistanat,secrétariat,comptabilité,dossiers","De 2 à 5 ans"
171,Bac;,"Papier;bois;caoutchouc;plastique;verre;tabac;Produits de grande consommation;","Animatrice;Animateur (Secteur du Tabac)","commercialisation,vente","3 ans"
172,"Bac+5 et plus;",Informatique;SSII;Internet;,"Responsable Informatique Système d'Information","stratégie,gestion,management","De 5 à 10 ans"
173,Bac+2;,Hôtellerie;restauration;,"Aide Comptable (intérim)","gestion,finance,comptabilité","De 2 à 5 ans"
174,"Qualification avant bac;","Hôtellerie;restauration;Industrie;production;fabrication;autres;Intérim;recrutement;Maintenance;entretien;service après vente;Transports;logistique;services postaux;","Chauffeur Professionnelle Permis B",qualité,"De 2 à 5 ans"
175,Bac+3;,"Ameublement;décoration;Distribution;vente;commerce de gros;","Agent Commercial Terrain Cuisines - Rabat","recouvrement,vente,prospection,développement commercial,commercialisation","De 2 à 5 ans"
176,Bac+4;,"Services autres;","Ingénieur en Géologie","support,livraison,formation,assurance","De 2 à 5 ans"
177,Bac+2;,Informatique;SSII;Internet;,"Architecte Logiciel - Chef de Projet Technique","C#,JIRA,JAVA,NET,AGILE","De 2 à 5 ans"
178,Bac+3;,"Ingénierie;études développement;","Ingénieur Mécanique du Bâtiment","chauffage,surveillance,plomberie,devis,mécanique","De 2 à 5 ans"
179,Bac+2;,Banque;assurance;finances;,"Opératrice de Saisie Francophone (Banque)","assistanat,secrétariat","3 ans"
180,Bac+3;,Banque;assurance;finances;,"Chargé D'Accueil - Secteur Bancaire","gestion,comptabilité,recouvrement,dossiers administratifs,vente","3 ans"
181,Bac+4;,Intérim;recrutement;,"Chargé de Recrutement","formation,recrutement","De 2 à 5 ans"
